Sentiment,Label
magmaan igin ninyo,positive
mahiwason ang rinconada,positive
simpleng uran baha nanaman lriga,negative
uda karapatan reklamo lalo kadaklan taga rinconada bayad kamo hanggang 3 taon halagang 2 500,negative
maray iba diri apektado,negative
dibale pirmi lipat taga iriga kan lalo agko kansert sana,neutral
paul tino tauno qnq nangana so gsto niniong mangana mauuda rw ah uran ska baha,negative
kulang ang cuidad drainage system,negative
priority yan kng lgu,neutral
paul tino tsagaan sanayan sabay mig suffer,negative
paul tino maray sana kami albay as voters,neutral
pwd baga ton mapakinabangan tubig baha,neutral
sabi baga tipunon agko magamit panahon ng tag tuyot,neutral
no hate raw arug sana dati bulan bulan papakalot kanal,neutral
maging lesson sana kanato ngamin so bagyong kristine,neutral
godbless and keep safe kanato ngamin,positive
baha tulos,negative
kolang sanayton linig,neutral
iton kanal baka pono basura lang daling baha,neutral
talgang babahaon iriga amang dios sana kan nakakaisi,neutral
maging handa sana permi tag uran pati ingat ngamin,positive
congrats baao oda baha,positive
mig ngalas paman kamu kiton baha iton,negative
an ang baha dali tumaas tah ahh kanal barado maray,neutral
ang flowing kang tubig dere dadaloy maray paiyan kanal,neutral
pangarwa buko kalikasan problema,negative
problema tao dere tatao apon tamang basurahan nayan dulot,negative
nabaha pala dyn,neutral
rinconada ano,negative
oy arabe g upod an,neutral
pauno baha tulos 4,negative
agko n nman bagyo dipayton inaasikaso,negative
ulat n nman agko mapahamak,negative
kanal pinaukaran nagooranoran,negative
sinabi gibo bypass road lalo paraot,negative
grabi n baha barado drainage gaud,negative
ono problima dugay salog baha centro,negative
raw nangyari kiton iriga dati diri san binabaha maski lang kusog uran,negative
tinitipon tubig sabi marcos gagamiton uma sabi baga virgil manaog,neutral
uda tiga eton pgbbgo hehehe,negative
palan natuturog pati pangiturugan uda uda kuryente,negative
irakman uban dipa naaanap tibaad daman nangyaring,negative
surang n baga kang casureco 3 an mas lamang ang brown out kysa power,negative
kidlat sana asahn n long brown out,negative
palpak ang serbisyo kaan,negative
mercy garing haloy ng hilang kan casureco yan,negative
ano kya yan kapatalan kan tga casureco or pictutuyo ninda,negative
kon technical aspeto mn sna tano dai ninda magibohan nin paagi haloy haloy problima ninda,negative
mercy garing agreed tagiti sana automatic brownout,negative
uban yan issue kiton casuraot 3 uda pagbabago suya,negative
tawan tabi tultul serbisyo kuryente tultul kaming,negative
bonus is real kokoon consumer is real pakaraya raw rabi serbisyo ninyo casureco,negative
ill nararaot appliances namo diri ninyo mababalyuwan,negative
maging totoo sana kamo tanganing diri kamo napag iisipan,negative
lang surang surang bagana christmas light ading sulo,negative
nagbabayad toltol toltol serbisyo itao casurico 3,negative
ahh serbisyo palpak migsingil lang ispid,negative
casureco 3 palpak ibang casureco camsur palpak uda basang notisya abiso mauudaan kuryente,negative
atang pandemya ngani p nagpapasakit hays,negative
harani bagong taon sana magbago naman kamo casureco 3,negative
paki unplugged muna appliances nindo uda kamo voltage regulator lalo mg flat screen tv deficil maraot an,negative
same in nabua ngiri pati on and off kuryente tlagang kapa raot gamit,negative
uda basang nakaka solve kan taga casureco ill eversince the world begun,negative
nata kaiba kmi nabua oda kurynte 11pm ping oda kurynte,negative
nkaka hb mn tlaga an casureco n,negative
samuya reading kasuhapon oy lintian babayaran mi 5k mahigit,negative
imagine ah palibhasa hurugakon an meter reader ninda,negative
pigpra tuom sna palan an reading me,neutral
dai mn iigdi harong puon pandemya,negative
kasuudma ing igdi c meter reader iyo ito bill nyamo,neutral
pg basol p daa aki q dae kya daa kmi tatao nin tamang kunsomo,negative
ay makauyamon trabaho ninda mg reading,negative
basolon p c aki q,negative
grabe perwisyo ata mg online class ya dina lugod klase,negative
kanina pong 11pm wala ng kuryente dito sta eulalia bao,negative
11pm uda kuryente sto domingo nabua,negative
ingat sna linemen mauran,positive
iriga what time magkapower,neutral
la purisima iriga brownout hanggang ngayon simula kagabi,neutral
unong oras migka power nabua,neutral
akala nga agko kami christmas light house on and off ah ilaw haha,negative
migtapos taon uda nagbago,negative
kun mkaistrikto kmo k bayad s tkot n mputulan ilo kun drwa bill dwa unong pki ucep,negative
nusad sana nguwan buyong abo counter sdi baao tpos amoyton serbisyo niinyo,negative
ninda manipulation uyan power supply kna kuryente,negative
olol bakit alam moba f ano ginagawa leni,negative
gago kapala mgka pgsalita kalamo galing gago,negative
mghugas kanga ng pinggan makatolong nanay,negative
tanggap nirang batugan pduts kya vp inaanap,neutral
da basang langoy,negative
paki translate manpo tagalog kun abo bikolnon mala kapatal kya gets ang english language,neutral
ivan rosales atang pasada rinconada puro bareta english taga,negative
rincondana tlagang saritaon hehe,neutral
kya ngani maski pasada tagalog ok sna yan,neutral
uda basang mai tindihn kna binabarita permi english,negative
cnsya masakit two arog patal,negative
takot mn pulis,negative
inulat pang mg dkol ma distroso,negative
uda mn nagginibo,negative
ay unta ton baritang rinconada english,negative
pasada america,neutral
pwede kintanang rinconada sana 0 tagalog nganing nakadagdag,negative
the fact is hindi naman talaga itatapon nataranta lang talaga siya kasi akala nahulog yung dala kapa siya ng kapa bulsa,neutral
amu plan c nalabusan nmu sogav e nah pig tatawowan kla qn disgrasya ing,negative
maray ngani uyan marakop,negative
erak pamilya,negative
oda pagbabago,negative
dpt ang tga pasada rinconda ang tinatanong ung nakakita mismo s pangyayari,negative
pra tama ung ibinabalita sino2 n ing ang kinakausap n wala nung mangyari basta may maibalita ing,negative
